Using Threads?,Total Duration (s),,Using Threads?,Total Duration (s),,SPEED INCREASE FROM THREADED:,4.765
Average:,10.885995844,,Average:,51.874699776,,,
True,10.561122,,False,51.7285255,,,
True,10.5754951,,False,49.7497488,,,
True,10.442121,,False,51.7150338,,,
True,10.4865155,,False,50.610724,,,
True,10.5922088,,False,50.8810835,,,
True,10.7687552,,False,51.0654551,,,
True,11.1917559,,False,51.9470529,,,
True,11.8270571,,False,52.0607901,,,
True,10.600769,,False,52.5197957,,,
True,11.2098812,,False,53.1698645,,,
True,10.8921623,,False,50.2505323,,,
True,10.4855537,,False,50.8932188,,,
True,11.4666492,,False,50.5801787,,,
True,10.7194225,,False,51.5525137,,,
True,11.0007355,,False,52.3258632,,,
True,11.0437861,,False,51.1189595,,,
True,10.8258784,,False,52.5358197,,,
True,10.6754424,,False,51.0990717,,,
True,10.9623154,,False,52.2850028,,,
True,11.2026266,,False,51.9329817,,,
True,11.0010049,,False,52.4743907,,,
True,11.1677782,,False,52.1116536,,,
True,11.1897686,,False,51.554439,,,
True,11.3019608,,False,51.9632612,,,
True,10.9008288,,False,51.6817436,,,
True,11.719087,,False,51.7114102,,,
True,10.7425641,,False,51.2075792,,,
True,10.8776428,,False,52.124785,,,
True,10.7578558,,False,51.9356797,,,
True,11.7448998,,False,52.1868142,,,
True,10.6665124,,False,53.0140737,,,
True,10.6524095,,False,51.9110076,,,
True,11.2420916,,False,50.2671745,,,
True,11.0274151,,False,51.0674728,,,
True,10.9591091,,False,52.0215317,,,
True,10.8449172,,False,51.5061209,,,
True,10.6576317,,False,51.8035471,,,
True,10.5749315,,False,52.4455837,,,
True,10.5558435,,False,53.9682171,,,
True,10.756924,,False,52.9917145,,,
True,10.7715469,,False,53.2518563,,,
True,10.4983193,,False,52.0229506,,,
True,10.8551866,,False,54.2692326,,,
True,10.4119271,,False,52.5879324,,,
True,10.7009937,,False,52.4292928,,,
True,10.7784054,,False,50.7063296,,,
True,10.6976822,,False,52.1188848,,,
True,11.0618796,,False,52.546379,,,
True,10.8833787,,False,52.8718091,,,
True,10.7690434,,False,50.9599056,,,
