Using Threads?,Total Duration (s)
True,10.561122
True,10.5754951
True,10.442121
True,10.4865155
True,10.5922088
True,10.7687552
True,11.1917559
True,11.8270571
True,10.600769
True,11.2098812
True,10.8921623
True,10.4855537
True,11.4666492
True,10.7194225
True,11.0007355
True,11.0437861
True,10.8258784
True,10.6754424
True,10.9623154
True,11.2026266
True,11.0010049
True,11.1677782
True,11.1897686
True,11.3019608
True,10.9008288
True,11.719087
True,10.7425641
True,10.8776428
True,10.7578558
True,11.7448998
True,10.6665124
True,10.6524095
True,11.2420916
True,11.0274151
True,10.9591091
True,10.8449172
True,10.6576317
True,10.5749315
True,10.5558435
True,10.756924
True,10.7715469
True,10.4983193
True,10.8551866
True,10.4119271
True,10.7009937
True,10.7784054
True,10.6976822
True,11.0618796
True,10.8833787
True,10.7690434
False,51.7285255
False,49.7497488
False,51.7150338
False,50.610724
False,50.8810835
False,51.0654551
False,51.9470529
False,52.0607901
False,52.5197957
False,53.1698645
False,50.2505323
False,50.8932188
False,50.5801787
False,51.5525137
False,52.3258632
False,51.1189595
False,52.5358197
False,51.0990717
False,52.2850028
False,51.9329817
False,52.4743907
False,52.1116536
False,51.554439
False,51.9632612
False,51.6817436
False,51.7114102
False,51.2075792
False,52.124785
False,51.9356797
False,52.1868142
False,53.0140737
False,51.9110076
False,50.2671745
False,51.0674728
False,52.0215317
False,51.5061209
False,51.8035471
False,52.4455837
False,53.9682171
False,52.9917145
False,53.2518563
False,52.0229506
False,54.2692326
False,52.5879324
False,52.4292928
False,50.7063296
False,52.1188848
False,52.546379
False,52.8718091
False,50.9599056
